impression_id,is_click
a9e7126a585a69a32bc7414e9d0c0ada,0.061306883
caac14a5bf2ba283db7708bb34855760,0.009798051
13f10ba306a19ce7bec2f3cae507b698,0.07322809
39c4b4dc0e9701b55a0a4f072008fb3f,0.011842681
bf5a572cca75f5fc67f4b14e58b11d70,0.10249643
ca09514449e304fee91456fb0918667a,0.0054339278
b8b35cb0ae1719aa9f0ba7a9f3785687,0.092365414
33502d1e85818b9b3414c8c006c34e07,0.014291114
5314e09fb680c56b58eb5a3b5b7bce0c,0.06367143
e1a8a26385f49a5a7e04d34a5823bff3,0.011298376
0a2388627db42a15565ad1e47daa6025,0.071997695
382193e62cbf57e49abf441063019542,0.01440797
27f17fd775ec9bf0e1abffe2c1206434,0.07657735
41fe27ce246bd9772e005da454d6b0e1,0.050100595
85b73c10a8fba7060054d48d542279d6,0.02512391
e22fabe59530363b97507c7294bca996,0.05103763
e48379e1edcf90e9cfc6bcac30d84151,0.15608469
f145cff1f3e70e0f6556911504369a3d,0.047452915
8d680e215a2bf3c38d3663904e80561b,0.041337937
74bfc8abbd41a8e4659d1873a9c495ab,0.015729085
b521ddda4c58202868680bd09028cf7d,0.09017486
9ef2e3d2a0e11a0da4adc7d50f403e12,0.11280714
7ff1cf3d2a03dab68c209ae9efd78849,0.05214644
a79e11fda1df1d3d15e25a678b4f64f3,0.1534901
b28d65100de9473e159832d8fbfc08ce,0.08637052
71c007e973f01320af45a0a8a118815c,0.05256557
0d3fd12d7d3d1c57e4834223a92c85e0,0.10294813
3fa5327c0267ab516572d8eeffb7e56c,0.007469756
4f70d4ec9a1cb73bd7d55a20a89a0f32,0.013001348
120408ab0f8be1be378244c851f15377,0.018043736
2b429223bafda71e100d93681d1a9c4a,0.027603714
ef77a3ab50e6dd4c60498590eae7e45c,0.038076356
4fdd62e26d388e2162043c66a50b281a,0.04573441
26a6fb5891d14ae1f2e661b0be2b484d,0.056706194
f102faf57facab3db71d53b42a0bed79,0.01762137
6f61ce47c4bff268417c6a640f663471,0.049684364
ca7b67776da93cc57084c0e5da675e1f,0.009157341
6a23a22999d9f3e6d809c344a1139b5d,0.008800859
94aa19340f1637ba74ca4dfadb5223a6,0.15437227
859e63ddba22ec7ff65943ab19eb8af8,0.055221185
c8c2b8e4806d05c343f216d7b40459e8,0.12823337
04e460e6cb4ca894948677337a90e5ac,0.009133247
7d9f00eac051d83b80f9c64b87b5c3fb,0.046439
b9934a91bb096f55b9f07382edc507bc,0.008386693
cfbdf9898e150eab7d7bad1b2ef104b7,0.010912426
dbbc5f3e71d7971eb7cf7522ed63bff5,0.008165442
8904457c60bf16013143c868e87c51de,0.071131624
667ecd057c9cc4a580379fcfcfd13af6,0.13756573
1b34106f36324f1fa529b76256420ff7,0.043460026
